Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
f5hi85_ul114_p16769,0.00,0,,1.69,3,,0.00,0,,0.58,2,,0.00,74.59,0.00,25.41
ul117_p16770_f5hfa5,0.00,0,,1.38,3,,0.23,1,,1.69,2,,0.00,41.90,6.84,51.27
f5hdm3_ul23_p16846,0.54,3,,1.56,4,,0.25,1,,0.29,2,,20.32,59.14,9.48,11.06
p16798_f5has7_ul92,0.00,0,,0.00,0,,0.00,0,,1.56,6,,0.00,0.00,0.00,100.00
p16780_ul40_q6sw92,1.54,5,,1.04,1,,0.00,0,,0.00,0,,59.61,40.39,0.00,0.00
p17150_ul111a_f5hc71,1.52,2,,0.00,0,,0.00,0,,0.20,1,,88.35,0.00,0.00,11.65
p16725_ul76_q6sw66,0.93,3,,1.52,3,,0.00,0,,1.10,3,,26.25,42.73,0.00,31.02
ul13_p16755_q6swb8,1.48,3,,1.26,2,,0.00,0,,1.28,2,,36.73,31.44,0.00,31.83
ul47_q6sw85_p16784,1.46,7,,0.24,2,,0.00,0,,0.44,4,,68.45,11.08,0.00,20.47
p16743_q6swc3_ul7,1.30,4,,0.34,1,,0.25,1,,0.85,2,,47.42,12.49,9.11,30.98
p16724_f5hc79_ul56,0.00,0,,0.00,0,,0.50,1,,1.30,3,,0.00,0.00,27.78,72.22
ul50_p16791_q6sw81,0.10,1,,1.20,2,,1.00,1,,1.28,4,,2.79,33.49,27.91,35.81
ul33_p16849_q6sw98,1.28,2,,1.08,3,,0.00,0,,0.88,3,,39.48,33.48,0.00,27.04
p16801_b9vxq2_q6sw48_ul95,0.11,1,,0.33,1,,0.00,0,,1.27,2,,6.47,19.42,0.00,74.10
f5hea3_ul71_p16823,0.00,0,,0.00,0,,0.00,0,,1.25,5,,0.00,0.00,0.00,100.00
p16847_ul28,1.21,9,,0.00,0,,0.00,0,,0.60,2,,66.83,0.00,0.00,33.17
ul127_p16771,0.00,0,,1.20,2,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
q6swn9_ul147_f5ha06,0.00,0,,0.00,0,,1.20,1,,0.17,1,,0.00,0.00,87.80,12.20
ul18_p08560_f5hfb4,0.45,2,,1.13,4,,0.50,1,,0.45,2,,17.75,44.76,19.73,17.75
p16763_q6swa4_ul27,0.87,4,,0.14,1,,0.00,0,,1.11,2,,40.93,6.73,0.00,52.34
ul69_p16749_q6sw73,1.10,4,,0.74,2,,0.00,0,,0.34,1,,50.33,33.99,0.00,15.69
q6sw79_ul52_p16793,0.14,1,,0.31,2,,0.38,1,,1.07,2,,7.50,16.34,19.70,56.46
ul77_p16726_q6sw65,0.83,1,,1.04,2,,0.00,0,,0.39,2,,36.61,46.03,0.00,17.36
p16824_ul72_q6sw70,0.00,0,,0.00,0,,0.00,0,,1.00,4,,0.00,0.00,0.00,100.00
rl12_q6swd0,1.00,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16775_ul3,0.12,1,,1.00,1,,0.00,0,,0.00,0,,11.11,88.89,0.00,0.00
ul89_f5hcu8_p16732,0.00,0,,0.00,0,,1.00,1,,0.44,1,,0.00,0.00,69.23,30.77
us12_f5he44_p09721,1.00,1,,0.25,1,,0.00,0,,0.00,0,,80.00,20.00,0.00,0.00
scp_q7m6n6_f5hen7,0.98,2,,0.00,0,,0.00,0,,0.67,2,,59.46,0.00,0.00,40.54
ul142_f5hhh2,0.00,0,,0.33,2,,0.00,0,,0.97,3,,0.00,25.14,0.00,74.86
p16761_f5hgj4_ul25,0.93,3,,0.72,3,,0.00,0,,0.50,2,,43.30,33.51,0.00,23.20
ul41_p16814,0.91,5,,0.11,1,,0.00,0,,0.70,2,,52.86,6.46,0.00,40.68
