Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
p10216_ul32,0.56,2,,0.24,1,,0.00,0,,2.31,2,,18.06,7.60,0.00,74.34
p10225_q82171_ul41,2.14,10,,1.41,4,,0.00,0,,1.90,3,,39.25,25.87,0.00,34.88
us2_p06485,1.77,4,,2.14,6,,0.00,0,,0.44,2,,40.69,49.09,0.00,10.21
ul5_p10189,0.35,2,,1.88,4,,0.00,0,,1.10,3,,10.52,56.49,0.00,32.99
us9_p06481,1.86,3,,0.82,2,,0.00,0,,0.31,2,,62.06,27.55,0.00,10.39
p06476_q05059_us6_a1z0q5_p36318_p57083_q69091,0.00,0,,1.16,4,,0.00,0,,1.71,2,,0.00,40.43,0.00,59.57
scp_p10219_ul35,1.56,5,,0.54,2,,0.00,0,,0.53,3,,59.13,20.62,0.00,20.25
p10231_ul47_p08313,1.46,7,,0.69,5,,0.00,0,,0.33,3,,59.10,27.75,0.00,13.15
dut_ul50_p10234,0.20,2,,1.45,3,,1.00,1,,0.75,2,,5.88,42.65,29.41,22.06
q1xbw5_p10187_ul3,0.33,2,,1.30,2,,0.00,0,,0.20,1,,17.81,71.23,0.00,10.96
ul14_p04291,0.57,2,,0.20,1,,0.00,0,,1.22,2,,28.49,10.06,0.00,61.45
ul2_p10186,0.38,2,,1.17,3,,0.00,0,,0.50,1,,18.37,57.14,0.00,24.49
p10212_p06490_p12835_ul28,1.11,4,,0.17,1,,0.00,0,,0.60,2,,59.13,8.87,0.00,32.00
p10188_ul4,0.36,2,,1.00,1,,0.00,0,,0.00,0,,26.53,73.47,0.00,0.00
p10191_ul7,0.99,3,,0.20,1,,0.00,0,,0.10,1,,76.77,15.48,0.00,7.74
ul25_p10209,0.50,1,,0.96,3,,0.00,0,,0.67,2,,23.50,45.17,0.00,31.33
p08353_rl1_p37319_p37318_p36313,0.20,1,,0.25,1,,0.00,0,,0.92,1,,14.63,18.29,0.00,67.07
p10201_ul17,0.00,0,,0.70,2,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
ul40_p06474_p10224,0.67,2,,0.67,1,,0.00,0,,0.00,0,,50.00,50.00,0.00,0.00
p06480_us5,0.17,1,,0.00,0,,0.00,0,,0.64,2,,20.59,0.00,0.00,79.41
p06487_us7,0.49,3,,0.20,1,,0.00,0,,0.62,2,,37.08,15.25,0.00,47.67
p10236_ul52,0.42,2,,0.56,3,,0.00,0,,0.12,1,,38.10,50.63,0.00,11.28
ul22_p08356_p06477_q9dhd5,0.00,0,,0.47,3,,0.00,0,,0.54,3,,0.00,46.15,0.00,53.85
p10235_ul51,0.11,1,,0.14,1,,0.00,0,,0.53,2,,14.11,18.15,0.00,67.74
ul49_p10233,0.50,1,,0.10,1,,0.25,1,,0.11,1,,52.02,10.40,26.01,11.56
ul18_p10202,0.00,0,,0.27,2,,0.50,1,,0.25,1,,0.00,26.32,49.12,24.56
p10192_ul8,0.00,0,,0.50,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
ul24_p10208,0.11,1,,0.00,0,,0.00,0,,0.37,2,,23.26,0.00,0.00,76.74
ul43_p10227,0.35,3,,0.20,1,,0.00,0,,0.11,1,,53.22,30.07,0.00,16.71
ul11_p04289_q68980,0.00,0,,0.33,1,,0.00,0,,0.10,1,,0.00,76.92,0.00,23.08
q703f0_us8_p04488,0.33,2,,0.00,0,,0.17,1,,0.00,0,,66.10,0.00,33.90,0.00
us4_p06484,0.00,0,,0.10,1,,0.00,0,,0.17,1,,0.00,37.50,0.00,62.50
q96912_p10185_ul1,0.11,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p10204_ul20,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
