Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
icp0_p08393,278.78,236,,63.07,109,,0.48,1,,32.24,71,,74.43,16.84,0.13,8.61
ie175_p08392_icp4_rs1,191.11,190,,74.54,106,,2.11,2,,31.50,70,,63.86,24.91,0.71,10.53
p04485_us1_icp22,64.57,85,,10.65,29,,0.14,1,,8.89,24,,76.64,12.64,0.17,10.55
p17469_p17470_p04296_ul29_dbp_icp8,15.72,31,,39.56,43,,0.33,1,,26.15,34,,19.23,48.38,0.41,31.98
us11_p04487_p56958,14.51,23,,7.52,16,,0.00,0,,28.51,29,,28.71,14.88,0.00,56.41
ul44_p28986_p10228,5.06,12,,19.50,21,,3.48,4,,23.27,21,,9.87,38.01,6.77,45.35
ul54_p10238_p36295,22.97,20,,16.50,20,,1.00,1,,2.68,8,,53.22,38.24,2.32,6.22
p17586_p23210_p32888_ul38,1.57,5,,5.43,5,,0.00,0,,11.69,5,,8.42,29.04,0.00,62.53
p28987_p06482_ul45_p10229,0.68,2,,0.00,0,,0.33,1,,9.39,5,,6.50,0.00,3.21,90.29
p04413_us3,9.30,19,,2.31,9,,0.00,0,,3.27,11,,62.49,15.55,0.00,21.96
p06491_mcp,2.55,7,,4.37,9,,0.36,1,,8.99,12,,15.67,26.87,2.22,55.24
p03176_q9qnf7_p06479_p08333_p06478_ul23_p17402,1.76,6,,8.26,6,,0.25,1,,5.66,5,,11.07,51.84,1.57,35.53
ul37_p10221,6.86,12,,1.75,10,,0.00,0,,1.12,3,,70.53,17.95,0.00,11.52
p03170_us12,6.24,5,,0.25,1,,0.00,0,,1.26,2,,80.50,3.23,0.00,16.27
ul48_p06492_p04486,3.66,11,,1.31,5,,0.50,1,,5.79,8,,32.53,11.61,4.44,51.42
p04293_p07917_p04292_p09854_ul30,2.44,7,,5.70,14,,0.00,0,,1.75,5,,24.63,57.67,0.00,17.70
p10218_ul34,4.37,2,,1.04,3,,0.00,0,,2.27,10,,56.88,13.57,0.00,29.55
ul21_p10205_p09855,4.35,1,,1.27,4,,0.00,0,,0.50,1,,71.10,20.73,0.00,8.17
p08543_ul39,0.28,2,,4.09,6,,0.50,1,,2.92,5,,3.57,52.57,6.42,37.44
p10220_ul36,2.97,8,,3.49,12,,0.00,0,,4.08,10,,28.14,33.14,0.00,38.72
ul33_p10217,4.04,2,,1.04,3,,0.00,0,,0.00,0,,79.58,20.42,0.00,0.00
p03178_p68332_ul53_p68333_q07005_p68331,1.25,2,,0.11,1,,0.00,0,,4.02,2,,23.18,2.07,0.00,74.76
us10_d3ypd5_p06486,0.00,0,,0.56,2,,0.00,0,,3.64,2,,0.00,13.29,0.00,86.71
p10193_ul9,1.68,4,,3.61,6,,0.00,0,,1.88,1,,23.48,50.37,0.00,26.15
p10200_ul16,0.10,1,,0.42,2,,0.00,0,,3.60,1,,2.43,10.13,0.00,87.44
p10240_ul56_p36297,0.62,2,,3.07,3,,0.00,0,,3.48,4,,8.71,42.79,0.00,48.49
p04295_ul15,0.00,0,,0.70,2,,0.00,0,,3.28,1,,0.00,17.60,0.00,82.40
p36296_ul55_p10239,0.17,1,,0.10,1,,0.20,1,,3.03,4,,4.77,2.86,5.72,86.66
p06437_p06436_p10211_p08665_ul27,1.36,6,,1.00,1,,0.00,0,,3.00,2,,25.41,18.65,0.00,55.95
ul31_p10215,0.00,0,,0.47,2,,0.00,0,,2.89,8,,0.00,13.93,0.00,86.07
ul26_p10210,0.94,4,,2.62,2,,0.00,0,,0.64,2,,22.46,62.42,0.00,15.12
p04290_ul13,2.08,4,,2.60,5,,0.00,0,,1.76,4,,32.33,40.38,0.00,27.29
p08314_ul46_p10230,0.82,2,,1.07,2,,0.00,0,,2.39,2,,19.14,24.99,0.00,55.88
p10226_ul42,1.43,2,,2.33,3,,0.00,0,,0.64,1,,32.55,52.86,0.00,14.60
ul6_p10190,0.14,1,,0.48,2,,0.00,0,,2.32,5,,4.85,16.17,0.00,78.97
