Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
p0c724_q3kss1_bkrf4_p30117,0.00,0,,2.60,3,,0.00,0,,0.98,5,,0.00,72.67,0.00,27.33
bslf1_p03193,0.00,0,,2.51,4,,0.00,0,,1.70,4,,0.00,59.64,0.00,40.36
q8azk7_q1hvi8_ebna-lp_p0c732,0.92,4,,2.50,6,,0.00,0,,0.00,0,,26.85,73.15,0.00,0.00
p03177_bxlf1_q1hvd1_q3ksq2,0.25,1,,2.39,4,,0.00,0,,2.21,3,,5.15,49.30,0.00,45.55
p03195_bllf3_q07275_q3kst7,0.00,0,,2.39,3,,0.00,0,,0.43,3,,0.00,84.63,0.00,15.37
p03199_p68345_bllf2_q3kst3,0.00,0,,2.37,3,,0.00,0,,1.68,4,,0.00,58.52,0.00,41.48
balf3_p25939_trm1,0.70,2,,2.35,4,,0.00,0,,1.67,2,,14.83,49.85,0.00,35.32
bvrf1_p0c705_p0c706_p03233,0.00,0,,2.20,1,,0.00,0,,1.49,2,,0.00,59.69,0.00,40.31
q3ksp9_q1hvc7_bvrf2_p03234,0.11,1,,0.61,2,,0.00,0,,2.14,3,,3.88,21.32,0.00,74.80
p0c725_lf2_p0c726_q3ksp5,0.35,2,,1.88,2,,0.00,0,,1.13,2,,10.43,55.95,0.00,33.62
bilf2_p03218,0.00,0,,1.36,3,,0.00,0,,1.70,3,,0.00,44.46,0.00,55.54
p03222_bglf1,0.12,1,,0.31,1,,0.00,0,,1.60,1,,6.14,15.21,0.00,78.64
q1hvh8_bolf1_q3ksu7_p03189,0.00,0,,0.31,2,,0.00,0,,1.33,2,,0.00,18.84,0.00,81.16
q1hvb5_p0c733_q8azj3_bnlf2b,0.50,1,,1.27,2,,0.00,0,,0.36,1,,23.50,59.53,0.00,16.97
q3ksr9_q1hvf2_bbrf1_p03213,0.00,0,,0.47,2,,0.00,0,,1.12,3,,0.00,29.40,0.00,70.60
p12977_q69138_q3kst2_ebna3,1.04,6,,0.79,4,,0.00,0,,0.00,0,,57.07,42.93,0.00,0.00
q3kss3_q1hvf6_p03212_bkrf2,0.00,0,,1.03,3,,0.00,0,,0.93,2,,0.00,52.77,0.00,47.23
p03184_bflf1,0.00,0,,0.97,1,,0.00,0,,0.84,1,,0.00,53.63,0.00,46.37
q1hvf8_p03210_q3kss5_brrf2,0.50,1,,0.79,2,,0.00,0,,0.68,2,,25.39,39.90,0.00,34.70
p29882_q3ksr8_p0c6z9_bbrf2,0.00,0,,0.12,1,,0.00,0,,0.65,2,,0.00,16.22,0.00,83.78
lf3_p0c728_p0c727,0.00,0,,0.60,2,,0.00,0,,0.12,1,,0.00,82.76,0.00,17.24
ebna6_p03204_q69140_q3kst0,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
lf1_q3ksp4_q1hvc3_q8azj5,0.21,1,,0.24,2,,0.00,0,,0.17,1,,34.39,38.46,0.00,27.15
q3ksp3_rpms1_q9q2p0,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
