Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
f5hc79_p16724_ul56,0.00,0,,0.00,0,,0.50,1,,1.30,3,,0.00,0.00,27.78,72.22
p16791_q6sw81_ul50,0.10,1,,1.20,2,,1.00,1,,1.28,4,,2.79,33.49,27.91,35.81
b9vxq2_p16801_q6sw48_ul95,0.11,1,,0.33,1,,0.00,0,,1.27,2,,6.47,19.42,0.00,74.10
p16755_q6swb8_ul13,0.68,2,,1.23,2,,0.00,0,,1.27,2,,21.32,38.79,0.00,39.89
f5hfb4_p08560_ul18,0.00,0,,1.26,5,,0.50,1,,0.56,3,,0.00,54.27,21.55,24.18
p16743_q6swc3_ul7,1.20,4,,0.34,1,,0.25,1,,0.75,1,,47.22,13.48,9.83,29.48
p16771_ul127,0.00,0,,1.20,2,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5ha06_q6swn9_ul147,0.00,0,,0.00,0,,1.20,1,,0.17,1,,0.00,0.00,87.80,12.20
p16793_q6sw79_ul52,0.24,1,,0.42,3,,0.38,1,,1.19,3,,10.91,18.97,16.84,53.28
p16752_q6sw63_ul79,0.00,0,,0.11,1,,0.00,0,,1.18,2,,0.00,8.63,0.00,91.37
p16849_q6sw98_ul33,0.00,0,,1.08,3,,0.00,0,,0.88,3,,0.00,55.32,0.00,44.68
p16726_q6sw65_ul77,0.40,1,,1.04,2,,0.00,0,,0.39,2,,21.80,56.78,0.00,21.41
p16780_q6sw92_ul40,0.28,2,,1.04,1,,0.00,0,,0.00,0,,21.05,78.95,0.00,0.00
f5hfj8_p16797_ul91,0.00,0,,0.00,0,,0.00,0,,1.03,1,,0.00,0.00,0.00,100.00
f5hcu8_p16732_ul89,0.00,0,,0.00,0,,1.00,1,,0.44,1,,0.00,0.00,69.23,30.77
f5he44_p09721_us12,1.00,1,,0.25,1,,0.00,0,,0.00,0,,80.00,20.00,0.00,0.00
f5hhh2_ul142,0.00,0,,0.33,2,,0.00,0,,0.97,3,,0.00,25.14,0.00,74.86
f5het4_ul131a,0.17,1,,0.96,2,,0.00,0,,0.25,1,,12.12,69.70,0.00,18.18
p16814_ul41,0.91,5,,0.11,1,,0.00,0,,0.70,2,,52.86,6.46,0.00,40.68
f5hc71_p17150_ul111a,0.85,1,,0.00,0,,0.00,0,,0.20,1,,80.95,0.00,0.00,19.05
f5hfz4_p16794_ul53,0.75,1,,0.10,1,,0.00,0,,0.85,3,,43.97,5.90,0.00,50.13
p16847_ul28,0.81,3,,0.17,1,,0.00,0,,0.60,2,,51.37,10.56,0.00,38.07
p16813_ul39,0.11,1,,0.76,4,,0.50,1,,0.36,2,,6.42,43.86,28.87,20.85
p16776_q6swc5_ul5,0.10,1,,0.75,2,,0.00,0,,0.60,2,,6.89,51.96,0.00,41.15
f5hgj4_p16761_ul25,0.43,2,,0.72,3,,0.00,0,,0.50,2,,26.17,43.62,0.00,30.20
f5hen7_q7m6n6_scp,0.71,1,,0.00,0,,0.00,0,,0.67,2,,51.61,0.00,0.00,48.39
q6sw10_ul133,0.69,2,,0.14,1,,0.00,0,,0.43,1,,54.45,11.29,0.00,34.25
q6swc9_rl13,0.11,1,,0.66,1,,0.00,0,,0.11,1,,12.62,74.76,0.00,12.62
f5he12_p16766_ul35,0.46,2,,0.64,3,,0.00,0,,0.37,2,,31.17,43.82,0.00,25.01
f5hf90_p16845_ul22a,0.62,2,,0.35,1,,0.00,0,,0.36,2,,46.78,26.20,0.00,27.03
p16837_ul128_v9llx6,0.62,2,,0.20,2,,0.00,0,,0.00,0,,75.76,24.24,0.00,0.00
f5hbx1_ul146,0.00,0,,0.33,1,,0.62,1,,0.36,1,,0.00,25.42,47.03,27.54
f5h9t4_p16745_ul9,0.36,2,,0.60,2,,0.00,0,,0.00,0,,37.57,62.43,0.00,0.00
f5has7_p16798_ul92,0.00,0,,0.00,0,,0.00,0,,0.59,1,,0.00,0.00,0.00,100.00
f5hgi9_p16792_ul51,0.11,1,,0.14,1,,0.00,0,,0.53,2,,14.11,18.15,0.00,67.74
f5hb52_p09730_us8,0.11,1,,0.00,0,,0.17,1,,0.50,1,,14.29,0.00,21.43,64.29
p16754_q6swc7_ul2,0.25,1,,0.50,1,,0.00,0,,0.00,0,,33.33,66.67,0.00,0.00
q6swd3_rl6,0.00,0,,0.00,0,,0.00,0,,0.50,1,,0.00,0.00,0.00,100.00
p16796_ul90,0.00,0,,0.00,0,,0.00,0,,0.50,1,,0.00,0.00,0.00,100.00
q6rjq3_ul141,0.17,1,,0.31,2,,0.00,0,,0.50,1,,17.05,31.82,0.00,51.14
p16840_q6rxc1_us5,0.00,0,,0.00,0,,0.00,0,,0.50,1,,0.00,0.00,0.00,100.00
f5hgu6_p69338_p69339_ul132,0.00,0,,0.00,0,,0.50,1,,0.10,1,,0.00,0.00,83.33,16.67
f5hh39_q7m6r1_ul21a,0.11,1,,0.14,1,,0.00,0,,0.50,3,,14.80,19.03,0.00,66.17
p16740_q6sw31_ul120,0.49,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16784_q6sw85_ul47,0.46,2,,0.24,2,,0.00,0,,0.23,2,,49.85,25.68,0.00,24.47
p16839_us4,0.33,1,,0.38,3,,0.00,0,,0.17,1,,37.97,43.04,0.00,18.99
f5haq7_q6swm9_ul135,0.35,2,,0.27,2,,0.00,0,,0.00,0,,56.76,43.24,0.00,0.00
f5he69_p69334_p69335_us18,0.34,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hi68_p16723_ul19,0.17,1,,0.34,3,,0.33,1,,0.20,1,,16.09,32.44,32.17,19.30
p16721_q6swb9_ul11,0.00,0,,0.33,1,,0.00,0,,0.10,1,,0.00,76.92,0.00,23.08
f5h8s6_p09700_us24,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5hen8_p16736_ul105,0.33,1,,0.14,1,,0.00,0,,0.17,1,,51.85,22.22,0.00,25.93
p16817_ul60,0.00,0,,0.00,0,,0.00,0,,0.33,1,,0.00,0.00,0.00,100.00
p16777_ul12,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5hbr4_p16735_ul104,0.00,0,,0.00,0,,0.00,0,,0.33,1,,0.00,0.00,0.00,100.00
f5hd27_p16741_ul121,0.33,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hf35_q6swn0_ul136,0.21,1,,0.28,2,,0.00,0,,0.14,1,,33.42,43.97,0.00,22.61
f5ha10_p16734_ul103,0.00,0,,0.28,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p16719_q6swc8_ul1,0.25,2,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q6swd5_rl1,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f7v999_us33a,0.12,1,,0.25,1,,0.00,0,,0.00,0,,33.33,66.67,0.00,0.00
f5haz3_p09701_us23,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
q6swd1_rl11,0.10,1,,0.24,1,,0.00,0,,0.00,0,,29.17,70.83,0.00,0.00
f5h9n4_p16760_ul24,0.24,2,,0.14,1,,0.00,0,,0.20,1,,40.78,24.67,0.00,34.54
p17146_p17175_q6swc6_ul4,0.11,1,,0.00,0,,0.00,0,,0.23,1,,33.06,0.00,0.00,66.94
p16781_q6sw89_ul43,0.21,2,,0.00,0,,0.00,0,,0.11,1,,65.52,0.00,0.00,34.48
p16773_ul131,0.00,0,,0.00,0,,0.00,0,,0.20,1,,0.00,0.00,0.00,100.00
b9vxi8_f5hht4_p16722_ul17,0.20,1,,0.20,1,,0.00,0,,0.00,0,,50.00,50.00,0.00,0.00
p16756_q6swb7_ul14,0.20,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hg95_p09705_us29,0.00,0,,0.00,0,,0.00,0,,0.20,1,,0.00,0.00,0.00,100.00
f5hig1_p16827_ul102,0.00,0,,0.12,1,,0.00,0,,0.20,1,,0.00,38.46,0.00,61.54
b9vxm8_f5hg51_p17149_ul70,0.00,0,,0.17,1,,0.00,0,,0.14,1,,0.00,53.85,0.00,46.15
f5hhs3_p16742_ul124,0.00,0,,0.00,0,,0.00,0,,0.17,1,,0.00,0.00,0.00,100.00
p16737_ul106,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q6sw14_ul139,0.14,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16753_q6sw62_ul80,0.00,0,,0.00,0,,0.00,0,,0.12,1,,0.00,0.00,0.00,100.00
p16824_q6sw70_ul72,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hdd3_p09731_us7,0.11,1,,0.00,0,,0.00,0,,0.12,1,,47.06,0.00,0.00,52.94
p16843_q6swc0_ul10,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16775_ul3,0.12,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
f5hcp3_p16772_ul130,0.00,0,,0.11,1,,0.00,0,,0.10,1,,0.00,52.63,0.00,47.37
f5h8q3_ul148,0.00,0,,0.11,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
f5hhl7_ul148d,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16759_ul21,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
