Keyword,immediate-early,#,    ,early,#,    ,latent,#,    ,late,#,    ,immediate-early (%),early (%),latent (%),late (%)
bxlf2_p03231_q1hvd2_q3ksq3,0.14,1,,0.97,3,,0.53,2,,3.38,6,,2.84,19.27,10.62,67.26
bbrf3_p03215_q1hve9_q3ksr7,0.17,1,,1.31,2,,0.24,1,,3.13,4,,3.44,27.07,4.87,64.62
bkrf3_p12888_ung,0.17,1,,2.95,3,,0.45,1,,0.83,3,,3.79,67.13,10.24,18.84
brrf2_p03210_q1hvf8_q3kss5,0.50,1,,0.67,2,,2.78,2,,0.68,2,,10.80,14.48,59.97,14.75
bvrf2_p03234_q1hvc7_q3ksp9,0.11,1,,0.79,3,,0.00,0,,2.62,4,,3.15,22.48,0.00,74.37
bkrf4_p0c724_p30117_q3kss1,0.00,0,,2.60,3,,0.00,0,,0.95,5,,0.00,73.18,0.00,26.82
bslf1_p03193,0.00,0,,2.51,4,,0.14,1,,1.70,4,,0.00,57.68,3.29,39.03
bllf3_p03195_q07275_q3kst7,0.00,0,,2.39,3,,0.00,0,,0.37,3,,0.00,86.68,0.00,13.32
bxlf1_p03177_q1hvd1_q3ksq2,0.25,1,,2.38,4,,0.00,0,,2.21,3,,5.17,49.11,0.00,45.72
bllf2_p03199_p68345_q3kst3,0.00,0,,2.37,3,,0.50,2,,1.68,4,,0.00,52.08,11.00,36.92
balf3_p25939,0.37,1,,2.35,4,,0.25,1,,1.67,2,,7.91,50.74,5.39,35.95
bvrf1_p03233_p0c705_p0c706,0.00,0,,2.20,1,,0.10,1,,1.49,2,,0.00,58.11,2.64,39.25
lf2_p0c725_p0c726_q3ksp5,0.35,2,,1.88,2,,0.00,0,,1.13,2,,10.43,55.95,0.00,33.62
bilf2_p03218,0.00,0,,1.36,3,,0.00,0,,1.70,3,,0.00,44.46,0.00,55.54
bglf1_p03222,0.12,1,,0.31,1,,0.33,1,,1.60,1,,5.28,13.07,14.08,67.57
bolf1_p03189_q1hvh8_q3ksu7,0.00,0,,0.31,2,,0.41,3,,1.33,2,,0.00,15.07,20.02,64.91
bnlf2b_p0c733_q1hvb5_q8azj3,0.50,1,,1.27,2,,0.24,2,,0.36,1,,21.09,53.43,10.24,15.23
bbrf1_p03213_q1hvf2_q3ksr9,0.00,0,,0.47,2,,0.00,0,,1.12,3,,0.00,29.40,0.00,70.60
bkrf2_p03212_q1hvf6_q3kss3,0.00,0,,1.03,3,,0.50,1,,0.91,2,,0.00,42.27,20.45,37.27
bflf1_p03184,0.00,0,,0.97,1,,0.14,1,,0.84,1,,0.00,49.73,7.29,42.99
lf3_p0c727_p0c728,0.00,0,,0.60,2,,0.92,4,,0.12,1,,0.00,36.50,55.90,7.60
bbrf2_p0c6z9_p29882_q3ksr8,0.00,0,,0.12,1,,0.00,0,,0.65,2,,0.00,16.22,0.00,83.78
blrf3_q07286,0.00,0,,0.00,0,,0.35,1,,0.00,0,,0.00,0.00,100.00,0.00
ebna6_p03204_q3kst0_q69140,0.00,0,,0.25,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
lf1_q1hvc3_q3ksp4_q8azj5,0.21,1,,0.12,1,,0.00,0,,0.17,1,,41.99,24.86,0.00,33.15
q3ksp3_q9q2p0_rpms1,0.10,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
